Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
androids_interview,text_only,logreg,cv,0,0.875,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.874782608695652,0.8799999999999999,0.9305555555555556,12,12,"[[11, 1], [2, 10]]",0,1,symmetric_merged_cv
androids_interview,text_only,xgb_fixed,cv,0,0.875,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.874782608695652,0.8799999999999999,0.9722222222222222,12,12,"[[11, 1], [2, 10]]",0,1,symmetric_merged_cv
androids_interview,text_only,xgb_optuna,cv,0,0.9166666666666666,0.9090909090909091,1.0,0.8333333333333334,0.916083916083916,0.923076923076923,0.9652777777777778,12,12,"[[12, 0], [2, 10]]",0,1,symmetric_merged_cv
daic,text_only,qwen,cv,1,0.6206896551724138,0.35294117647058826,0.375,0.3333333333333333,0.5423242467718794,0.7317073170731706,0.6722222222222223,20,9,"[[15, 5], [6, 3]]",0,1,symmetric_merged_cv
daic,text_only,logreg,cv,1,0.6896551724137931,0.4,0.5,0.3333333333333333,0.5953488372093023,0.7906976744186046,0.7222222222222222,20,9,"[[17, 3], [6, 3]]",0,1,symmetric_merged_cv
daic,text_only,xgb_fixed,cv,1,0.6896551724137931,0.4,0.5,0.3333333333333333,0.5953488372093023,0.7906976744186046,0.6,20,9,"[[17, 3], [6, 3]]",0,1,symmetric_merged_cv
daic,text_only,xgb_optuna,cv,1,0.6896551724137931,0.4,0.5,0.3333333333333333,0.5953488372093023,0.7906976744186046,0.6333333333333333,20,9,"[[17, 3], [6, 3]]",0,1,symmetric_merged_cv
cmdc,text_only,qwen,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,logreg,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,xgb_fixed,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,xgb_optuna,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,text_only,qwen,cv,1,0.8,0.8648648648648648,0.8,0.9411764705882353,0.7401247401247402,0.6153846153846154,0.7830882352941176,8,17,"[[4, 4], [1, 16]]",0,1,symmetric_merged_cv
turkish,text_only,logreg,cv,1,0.76,0.8333333333333333,0.7894736842105263,0.8823529411764706,0.7023809523809523,0.5714285714285715,0.7794117647058824,8,17,"[[4, 4], [2, 15]]",0,1,symmetric_merged_cv
turkish,text_only,xgb_fixed,cv,1,0.76,0.8333333333333333,0.7894736842105263,0.8823529411764706,0.7023809523809523,0.5714285714285715,0.7573529411764706,8,17,"[[4, 4], [2, 15]]",0,1,symmetric_merged_cv
turkish,text_only,xgb_optuna,cv,1,0.76,0.8333333333333333,0.7894736842105263,0.8823529411764706,0.7023809523809523,0.5714285714285715,0.75,8,17,"[[4, 4], [2, 15]]",0,1,symmetric_merged_cv
d3tec,text_only,qwen,cv,1,0.46153846153846156,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.4484848484848485,0.36363636363636365,0.47619047619047616,7,6,"[[2, 5], [2, 4]]",0,1,symmetric_merged_cv
d3tec,text_only,logreg,cv,1,0.5384615384615384,0.5,0.5,0.5,0.5357142857142857,0.5714285714285714,0.47619047619047616,7,6,"[[4, 3], [3, 3]]",0,1,symmetric_merged_cv
d3tec,text_only,xgb_fixed,cv,1,0.46153846153846156,0.4615384615384615,0.42857142857142855,0.5,0.4615384615384615,0.4615384615384615,0.5238095238095238,7,6,"[[3, 4], [3, 3]]",0,1,symmetric_merged_cv
d3tec,text_only,xgb_optuna,cv,1,0.46153846153846156,0.4615384615384615,0.42857142857142855,0.5,0.4615384615384615,0.4615384615384615,0.5238095238095238,7,6,"[[3, 4], [3, 3]]",0,1,symmetric_merged_cv
androids_interview,text_only,qwen,cv,1,0.9565217391304348,0.962962962962963,0.9285714285714286,1.0,0.9551656920077973,0.9473684210526316,0.9461538461538461,10,13,"[[9, 1], [0, 13]]",0,1,symmetric_merged_cv
androids_interview,text_only,logreg,cv,1,0.8695652173913043,0.8799999999999999,0.9166666666666666,0.8461538461538461,0.8685714285714285,0.8571428571428572,0.9,10,13,"[[9, 1], [2, 11]]",0,1,symmetric_merged_cv
androids_interview,text_only,xgb_fixed,cv,1,0.9130434782608695,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9115384615384616,0.9,0.9153846153846154,10,13,"[[9, 1], [1, 12]]",0,1,symmetric_merged_cv
androids_interview,text_only,xgb_optuna,cv,1,0.9130434782608695,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9115384615384616,0.9,0.9076923076923077,10,13,"[[9, 1], [1, 12]]",0,1,symmetric_merged_cv
daic,text_only,qwen,cv,2,0.7857142857142857,0.625,0.625,0.625,0.7375,0.85,0.85625,20,8,"[[17, 3], [3, 5]]",0,1,symmetric_merged_cv
daic,text_only,logreg,cv,2,0.8214285714285714,0.6666666666666666,0.7142857142857143,0.625,0.7723577235772356,0.8780487804878048,0.89375,20,8,"[[18, 2], [3, 5]]",0,1,symmetric_merged_cv
